name,url,success,feed_url,feed_type,entries,latency_ms,error,stages
L'Équipe,https://www.lequipe.fr/,True,https://dwh.lequipe.fr/api/edito/rss?path=/,rss,3,129,,
Le Monde,https://www.lemonde.fr/,True,https://www.lemonde.fr/rss/une.xml,rss,3,1215,,
Le Figaro,https://www.lefigaro.fr/,True,https://www.lefigaro.fr/rss/figaro_actualites.xml,rss,3,2567,,
Le Parisien,https://www.leparisien.fr/,True,https://feeds.leparisien.fr/leparisien/rss,rss,3,1113,,
Libération,https://www.liberation.fr/,True,https://www.liberation.fr/arc/outboundfeeds/rss/?outputType=xml,rss,3,185,,
Les Echos,https://www.lesechos.fr/,True,https://services.lesechos.fr/rss/les-echos-economie.xml,rss,3,1483,,
La Croix,https://www.la-croix.com/,True,https://www.la-croix.com/feed,rss,3,1018,,
L'Humanité,https://www.humanite.fr/,True,https://www.humanite.fr/feed,rss,3,2083,,
Mediapart,https://www.mediapart.fr/,True,https://www.mediapart.fr/articles/feed,rss,3,4864,,
L'Obs,https://www.nouvelobs.com/,True,https://www.nouvelobs.com/rss.xml,rss,3,1381,,
Le Point,https://www.lepoint.fr/,True,https://www.lepoint.fr/rss,rss,3,1885,,
L'Express,https://www.lexpress.fr/,True,https://www.lexpress.fr/arc/outboundfeeds/rss/alaune.xml,rss,3,6374,,
Marianne,https://www.marianne.net/,True,https://www.marianne.net/rss.xml,rss,3,661,,
Charlie Hebdo,https://charliehebdo.fr/,True,https://charliehebdo.fr/feed/,rss,3,1206,,
Courrier International,https://www.courrierinternational.com/,True,https://www.courrierinternational.com/feed/all/rss.xml,rss,3,725,,
France Info,https://www.francetvinfo.fr/,True,https://www.francetvinfo.fr/titres.rss,rss,3,3765,,
France Inter,https://www.radiofrance.fr/franceinter,True,https://www.radiofrance.fr/franceinter/rss,rss,3,5081,,
France Culture,https://www.radiofrance.fr/franceculture,True,https://www.radiofrance.fr/franceculture/rss,rss,3,3471,,
BFMTV,https://www.bfmtv.com/,True,https://www.bfmtv.com/rss/news-24-7/,rss,3,2183,,
TF1 Info,https://www.tf1info.fr/,True,https://www.tf1info.fr/feeds/rss-une.xml,rss,3,2368,,
Ouest France,https://www.ouest-france.fr/,True,https://www.ouest-france.fr/rss/une,rss,3,1176,,
Sud Ouest,https://www.sudouest.fr/,True,https://www.sudouest.fr/rss.xml,rss,3,810,,
La Dépêche,https://www.ladepeche.fr/,True,https://www.ladepeche.fr/rss.xml,rss,3,1495,,
20 Minutes,https://www.20minutes.fr/,True,https://www.20minutes.fr/feeds/rss-une.xml,rss,3,2201,,
Télérama,https://www.telerama.fr/,True,https://www.telerama.fr/rss/une.xml,rss,3,1074,,
Slate,https://www.slate.fr/,True,https://www.slate.fr/rss.xml,rss,3,700,,
Konbini,https://www.konbini.com/fr/,True,https://www.konbini.com/feed/,rss,3,1807,,
Numerama,https://www.numerama.com/,True,https://www.numerama.com/feed,rss,3,1695,,
Next INpact,https://next.ink/,True,https://next.ink/feed/mp3/,rss,3,1455,,
Korii,https://korii.slate.fr/,True,https://korii.slate.fr/rss.xml,rss,3,388,,
