source_id,name,current_theme,proposed_theme,proposed_secondary_themes,target_poor_theme,rationale,sources_consulted
1b8dde5f-7641-4ebc-bf3a-07bebdaf8ffb,Fouloscopie,society,society,science,science,"Chaîne de vulgarisation scientifique de Mehdi Moussaid, chercheur en sciences du comportement a l'Institut Max Planck ; le sujet est la science des foules, pas la societe au sens news.",https://www.youtube.com/channel/UCLXDAkJ3rTe0khbCV1Q7hSA
019833de-600e-47fa-ad79-98358a833a51,PsykoCouac,society,society,science,science,"Vulgarisation scientifique de la psychologie cognitive par Pierre Bordaberry, docteur en psychologie cognitive ; ligne scientifique et pedagogique sans angle societe.",https://www.youtube.com/@PsykoCouac
24eb8e05-51c2-4c49-83ae-d20be98a300f,Chez Anatole,culture,culture,science|environment,science,"Vulgarisation scientifique par Anatole Chouard (Polytechnique) : analyses de rapports scientifiques (GIEC, Meadows), science des sujets de societe et environnement.",https://culture.cnam.fr/medias-cnam/le-cnam-s-associe-a-anatole-chouard-createur-de-la-chaine-youtube-de-vulgarisation-scientifique-chez-anatole--1522429.kjsp|https://www.airzen.fr/youtube-on-sinstalle-chez-anatole-pour-parler-decologie/
b9becd34-46a9-44a7-8896-b6bbf07ae2dc,France Culture,culture,culture,science,science,"Forte programmation sciences et recherche du service public (emissions type La Science CQFD) qui ne remonte aujourd'hui dans aucune section science.",https://www.radiofrance.fr/franceculture
03f703fb-3e6b-44d7-ad46-0b4fee77b425,Usbek & Rica,society,society,tech|science,tech,"Magazine de prospective (futurologie) centre sur l'IA, les technologies, l'innovation et les sciences ; angle futur/tech bien plus que societe.",https://fr.wikipedia.org/wiki/Usbek_%26_Rica_(magazine)
8900ed73-4038-49fb-847c-2078b3d42cc7,Monsieur Phi,culture,culture,tech,tech,"Philosophie de l'intelligence artificielle (livre sur les LLM/ChatGPT, conscience et risques) : production reguliere sur l'IA, pertinente pour la section tech.",https://www.afis.org/Intelligence-artificielle-conscience-autonomie-et-risques-existentiels
97eab57f-983d-4b47-a560-29debf13d2df,Le Canard Enchaine,society,society,politics,politics,"Hebdomadaire d'investigation politique (affaires, vie politique et institutionnelle francaise) ; coeur de cible politics.",https://www.lecanardenchaine.fr/
e621430d-5791-4655-8b85-9f3b9422478b,Le Monde — Les Decodeurs,society,society,politics,politics,"Cellule de fact-checking du debat politique : declarations publiques, elections, institutions ; remonte naturellement en politics.",https://www.lemonde.fr/les-decodeurs/
da7114f9-2ff9-4a3e-9c93-c707596769a9,La Croix — Analyses,society,society,politics,politics,"Editoriaux et decryptages sur la vie democratique et institutionnelle ; angle politique regulier au-dela du social.",https://www.la-croix.com/a-vif/
eff41953-29c8-42dd-bbd5-4d0c1249889d,ApresLaBiere,culture,culture,politics,politics,"Jean-Lou Fourquet : philosophie politique, rapports de pouvoir et democratie ; pertinent pour la section politics.",https://www.youtube.com/channel/UCX8dmzDECYUAlEanzSqQXBA
45d23d70-7dc5-472a-8cd0-776d4328693b,L'Incorrect,society,society,politics,politics,"Magazine d'analyses politiques a ligne conservatrice assumee ; production politique reguliere.",https://lincorrect.org/
